match_id,winner,map,region,date_time,sum_lvl1,sum_lvl2,range_lvl1,range_lvl2,sum_tier1,sum_tier2,range_tier1,range_tier2,a_wr1,a_wr2,a_wr3,a_wr4,a_wr5,a_wr6,a_wr7,a_wr8,a_wr9,a_wr10,sum_awr1,sum_awr2,weight_awr1,weight_awr2,c_kda1,c_kda2,c_kda3,c_kda4,c_kda5,c_kda6,c_kda7,c_kda8,c_kda9,c_kda10,sum_ckda1,sum_ckda2,weight_ckda1,weight_ckda2,c_wr1,c_wr2,c_wr3,c_wr4,c_wr5,c_wr6,c_wr7,c_wr8,c_wr9,c_wr10,sum_cwr1,sum_cwr2,weight_cwr1,weight_cwr2
1076464492,1,Ranked Ascension Peak,EU,3/26/2021 11:00:03 PM,478,429,137,105,57,61,11,4,0.4921,0.5,0.4828,0.5069,0.5,0.5306,0.5097,0.5121,0.5144,0.5532,2.4818,2.62,0.496,0.516,1.9846,0.25,0.3333,1.1364,2.2411,3.1111,1.8387,2.1054,1.9455,1,5.9454,10.0007,1.9663,1.9117,0.5833,0,0,0.6,0.5769,0.6667,0.4778,0.566,0.4615,0.5,1.7602,2.672,0.5789,0.5082
1076464507,0,Ranked Ice Mines,EU,3/26/2021 11:00:07 PM,192,253,38,52,31,26,3,8,0.3529,0.4777,0.3529,0.45,0.45,0.4783,0,0.4375,0.125,0.4,2.0835,1.4408,0.4597,0.4,10,1.5,2.0526,1.9615,2.6429,1.25,0.3636,0.2857,0.9615,0.795,18.157,3.6558,1.9304,0.9021,1,0.4444,0.6,0.375,1,0.4286,0,0,0.5,0.4286,3.4194,1.3572,0.5385,0.3846
1076464511,0,Ranked Frozen Guard,EU,3/26/2021 11:00:08 PM,362,1948,104,409,80,90,9,7,0.625,0.5,0.4333,0.4571,0.5227,0.5347,0.4681,0.4483,0.5049,0.5658,2.5381,2.5218,0.5179,0.5169,5.5833,3.3265,7.3,1.8456,2.4058,1.6653,0,1.6667,1.0714,0,20.4612,4.4034,2.5949,1.6149,1,0.5294,1,0.4545,0.5366,0.5,0,0,0.3077,0,3.5205,0.8077,0.5417,0.483
1076464516,1,Ranked Splitstone Quarry,EU,3/26/2021 11:00:09 PM,240,280,78,100,74,96,9,5,0.5,0.6,0.5432,0.5,0.6,0.6667,0.5866,0.6364,0.5417,0.8,2.7432,3.2314,0.5406,0.5846,2.9615,0.9211,0,2,0,2.8958,1.5688,1.6633,2.1969,2.175,5.8826,10.4998,2.6198,1.6648,0.6613,0.5,0,0.6667,0,0.6364,0.568,0.6,0.55,0.6667,1.828,3.0211,0.6593,0.5674
1076464517,1,Ranked Timber Mill,Brazil,3/26/2021 11:00:10 PM,2565,2785,815,515,105,108,3,7,0.6333,0.6333,0.5,0.499,0.5161,0.5153,0.503,0.5104,0.5027,0.5042,2.7817,2.5356,0.507,0.5082,0,0,1.0366,0,1.6833,2.7206,3.4833,1.6549,1.868,0,2.7199,9.7268,1.5483,2.5595,0,0,0.2857,0,0.5402,0.5537,0.4,0.5172,0.4706,0,0.8259,1.9415,0.4907,0.5147
1076491213,1,Ranked Serpent Beach,EU,3/27/2021 1:00:09 AM,1626,1789,578,815,79,80,8,8,0.4723,0.5167,0.4749,0.4375,0.5761,0.51,0.4936,0.5897,0.5048,0.4918,2.4775,2.5899,0.5,0.4987,0,1.4571,1.256,0,1.4445,2.6833,0,1.375,2.65,2.0421,4.1576,8.7504,1.3775,1.9846,0,0.2963,0.5,0,0.4677,0.6,0,0.6154,1,0.4182,1.264,2.6336,0.4522,0.4881
1076491249,1,Ranked Ascension Peak,Latin America North,3/27/2021 1:00:19 AM,1772,1891,658,408,60,48,6,5,0.4639,0.5183,0.494,0.4962,0.4211,0.5,0.5233,0.5455,0.5016,0.498,2.3935,2.5684,0.5055,0.5085,0,1.7932,2.1009,2.0027,0.64,2.0227,1.5476,1.3837,0,1.9207,6.5368,6.8747,1.8731,1.5674,0,0.5128,0.56,0.6047,0.3333,1,0.661,0.3636,0,0.65,2.0108,2.6746,0.5357,0.5826
1076491288,0,Ranked Ascension Peak,NA,3/27/2021 1:00:31 AM,1013,935,190,516,41,42,11,8,0.5043,0.8,0.4886,0.4719,0.4749,0.4884,0.4874,0.5421,0.4858,0.2973,2.7397,2.301,0.4895,0.4936,1.9302,0,2,1.1964,0.7672,1.7031,1.6902,1.7344,0,0.784,5.8938,5.9117,1.7426,1.5343,0.4459,0,0.375,0.5714,0.6,0.5,0.3667,0.4878,0,0.25,1.9923,1.6045,0.4574,0.4265
1076491290,0,Ranked Frozen Guard,Brazil,3/27/2021 1:00:31 AM,2239,1950,647,357,96,104,10,9,0.5207,0.5149,0.5061,0.5276,0.4904,0.5116,0.5389,0.5276,0.5093,0.566,2.5597,2.6534,0.5144,0.5197,1.2091,2.525,2.1596,2.4448,1.4953,1.8853,2.1429,1.4947,0,1.16,9.8338,6.6829,1.8764,1.8265,0.5602,0.52,0.6189,0.5185,0.5833,0.5027,0.5926,0.4024,0,0.3,2.8009,1.7977,0.5869,0.5024
1076491294,0,Ranked Warder's Gate,Brazil,3/27/2021 1:00:33 AM,1996,1719,955,858,73,69,11,7,0.5426,0.5778,0.5197,0.6875,0.5714,0.6098,0.5149,0.4974,0.5455,0.5126,2.899,2.6802,0.5542,0.5155,3.1759,1.3389,2.5385,2.6278,1.5316,1.9969,1.5491,1.3578,2.5238,2.1355,11.2127,9.5631,2.022,1.8455,0.5714,0.4375,1,0.5921,0.5556,0.5584,0.4156,0.4444,0.625,0.5446,3.1566,2.588,0.539,0.505
