match_id,winner,map,region,date_time
1076464492,1,Ranked Ascension Peak,EU,3/26/2021 11:00:03 PM
1076464507,0,Ranked Ice Mines,EU,3/26/2021 11:00:07 PM
1076464511,0,Ranked Frozen Guard,EU,3/26/2021 11:00:08 PM
1076464516,1,Ranked Splitstone Quarry,EU,3/26/2021 11:00:09 PM
1076464517,1,Ranked Timber Mill,Brazil,3/26/2021 11:00:10 PM
1076491213,1,Ranked Serpent Beach,EU,3/27/2021 1:00:09 AM
1076491249,1,Ranked Ascension Peak,Latin America North,3/27/2021 1:00:19 AM
1076491288,0,Ranked Ascension Peak,NA,3/27/2021 1:00:31 AM
1076491290,0,Ranked Frozen Guard,Brazil,3/27/2021 1:00:31 AM
1076491294,0,Ranked Warder's Gate,Brazil,3/27/2021 1:00:33 AM
1076515884,1,Ranked Ice Mines,Brazil,3/27/2021 3:00:01 AM
1076515910,0,Ranked Splitstone Quarry,Latin America North,3/27/2021 3:00:09 AM
1076515911,0,Ranked Frog Isle,Latin America North,3/27/2021 3:00:09 AM
1076515928,1,Ranked Ascension Peak,Brazil,3/27/2021 3:00:14 AM
1076515979,0,Ranked Frozen Guard,EU,3/27/2021 3:00:31 AM
1076516056,1,Ranked Serpent Beach,Latin America North,3/27/2021 3:00:55 AM
1076516103,1,Ranked Timber Mill,Brazil,3/27/2021 3:01:09 AM
1076516182,1,Ranked Ice Mines,Brazil,3/27/2021 3:01:34 AM
1076516240,1,Ranked Ice Mines,Brazil,3/27/2021 3:01:51 AM
1076516266,0,Ranked Timber Mill,NA,3/27/2021 3:01:58 AM
1076516314,1,Ranked Frog Isle,NA,3/27/2021 3:02:12 AM
1076516338,0,Ranked Splitstone Quarry,Latin America North,3/27/2021 3:02:20 AM
1076516350,0,Ranked Timber Mill,NA,3/27/2021 3:02:24 AM
1076516397,1,Ranked Jaguar Falls,Brazil,3/27/2021 3:02:39 AM
1076516403,1,Ranked Jaguar Falls,NA,3/27/2021 3:02:40 AM
1076516405,0,Ranked Ice Mines,Latin America North,3/27/2021 3:02:41 AM
1076516447,1,Ranked Splitstone Quarry,NA,3/27/2021 3:02:53 AM
1076516475,0,Ranked Frozen Guard,Brazil,3/27/2021 3:03:01 AM
1076516498,1,Ranked Ascension Peak,Brazil,3/27/2021 3:03:06 AM
1076516527,1,Ranked Stone Keep,NA,3/27/2021 3:03:15 AM
1076516534,0,Ranked Splitstone Quarry,NA,3/27/2021 3:03:17 AM
