match_id,a_lvl1,a_lvl2,a_lvl3,a_lvl4,a_lvl5,tier1,tier2,tier3,tier4,tier5,wins1,wins2,wins3,wins4,wins5,losses1,losses2,losses3,losses4,losses5,champ1,champ2,champ3,champ4,champ5,assists1,assists2,assists3,assists4,assists5,deaths1,deaths2,deaths3,deaths4,deaths5,kills1,kills2,kills3,kills4,kills5,c_losses1,c_losses2,c_losses3,c_losses4,c_losses5,c_matches1,c_matches2,c_matches3,c_matches4,c_matches5,c_wins1,c_wins2,c_wins3,c_wins4,c_wins5
1076464492,186,76,85,82,49,16,12,11,5,13,93,18,42,73,21,96,18,45,71,21,2495,2071,2517,2348,2362,2070,4,4,117,231,1816,8,6,77,197,2569,0,0,29,326,85,1,1,6,11,204,1,1,15,26,119,0,0,9,15
1076464507,34,58,34,20,46,6,8,5,6,6,6,107,6,9,9,11,117,11,11,11,2322,2417,2057,2056,2277,8,67,58,99,31,0,77,57,39,21,6,82,88,27,40,0,5,2,5,0,1,9,5,8,3,1,4,3,3,3
1076464511,37,46,141,73,65,15,16,18,11,20,30,19,13,16,23,18,19,17,19,21,2338,2254,2479,2491,2092,9,494,33,171,501,6,98,5,68,329,29,79,20,40,541,0,8,0,6,19,1,17,2,11,41,1,9,2,5,22
1076464516,35,30,108,35,32,12,16,19,10,17,8,3,151,8,3,8,2,127,8,2,2393,2205,2073,2528,2431,706,7,0,338,0,390,19,0,163,0,802,14,0,157,0,21,1,0,9,0,62,2,0,27,0,41,1,0,18,0
1076464517,46,504,783,861,371,20,20,21,23,21,19,19,28,524,64,11,11,28,526,60,2092,2303,2071,2205,2288,0,0,180,0,886,0,0,164,0,622,0,0,80,0,604,0,0,15,0,40,0,0,21,0,87,0,0,6,0,47
1076491213,656,401,200,291,78,18,19,15,11,16,145,155,180,7,106,162,145,199,9,78,2073,2092,2303,2479,2536,0,233,963,0,553,0,233,545,0,712,0,223,203,0,752,0,19,34,0,33,0,27,68,0,62,0,8,34,0,29
1076491249,437,198,697,401,39,14,14,11,13,8,45,368,41,131,8,52,342,42,133,11,2205,2071,2491,2277,2056,0,1610,840,382,20,0,1112,317,367,25,0,1189,246,544,6,0,76,22,17,2,0,156,50,43,3,0,80,28,26,1
1076491288,190,306,183,218,116,15,6,11,5,4,116,4,107,42,104,114,1,112,47,115,2073,2509,2372,2288,2529,905,0,64,54,31,437,0,20,56,58,391,0,8,40,29,41,0,5,3,2,74,0,8,7,5,33,0,3,4,3
1076491290,549,614,721,281,74,15,14,23,24,20,189,69,208,191,77,174,65,203,171,80,2348,2431,2277,2529,2512,2201,529,3185,438,129,1624,140,2923,362,106,863,89,4720,666,94,84,12,125,26,5,191,25,328,54,12,107,13,203,28,7
1076491294,44,417,999,314,222,21,16,16,10,10,70,52,79,22,12,59,38,73,10,9,2509,2071,2536,2533,2288,103,452,22,1557,96,54,360,13,356,79,120,256,22,157,73,3,27,0,31,4,7,48,1,76,9,4,21,1,45,5
1076515884,37,402,503,396,590,22,26,22,22,22,31,74,131,97,102,27,70,129,89,97,2417,2479,2431,2073,2314,90,0,1586,1007,564,98,0,271,467,290,141,0,157,423,320,8,0,49,28,16,10,0,81,72,35,2,0,32,44,19
